,time,La,Lo,Dep,Mw,Location
120,2020-11-02 03:45:51.950,37.8425,26.8533,15.0,3.0,14.4 km NW of Samos
121,2020-11-02 04:25:26.350,37.7758,26.383,5.0,2.9,28.6 km NE of Ikaria
122,2020-11-02 04:30:07.530,37.8233,26.7157,10.0,3.4,24.1 km WNW of Samos
123,2020-11-02 05:21:59.640,37.7785,26.505,23.0,3.5,36.8 km NE of Ikaria
124,2020-11-02 06:22:13.990,37.7912,26.6165,3.0,3.4,31.9 km W of Samos
125,2020-11-02 11:58:04.450,37.852,26.826,22.0,4.0,16.9 km NW of Samos
126,2020-11-02 12:30:40.360,37.8545,26.7198,11.0,3.5,25.0 km WNW of Samos
127,2020-11-02 12:38:34.530,37.7765,26.4828,19.0,2.8,35.1 km NE of Ikaria
128,2020-11-02 14:53:10.750,37.7341,27.0191,7.0,3.4,4.5 km SE of Samos
129,2020-11-02 15:09:07.290,37.6853,27.0185,7.0,3.7,8.8 km SSE of Samos
130,2020-11-02 15:15:06.300,37.7487,27.046,15.0,3.2,6.1 km E of Samos
131,2020-11-02 15:37:30.830,37.644,26.9395,19.0,3.3,13.0 km SSW of Samos
132,2020-11-02 16:32:00.780,37.7355,27.0593,5.0,2.9,7.6 km ESE of Samos
133,2020-11-02 17:05:43.590,37.8399,26.7536,11.0,3.2,21.7 km WNW of Samos
134,2020-11-02 17:43:10.980,37.8178,26.4567,5.0,3.3,36.5 km NE of Ikaria
135,2020-11-02 18:31:10.940,37.9557,27.044,2.0,3.0,22.8 km NNE of Samos
136,2020-11-02 19:16:39.360,37.8489,26.4638,8.0,4.2,39.4 km NE of Ikaria
137,2020-11-02 19:39:12.850,37.7236,27.0181,6.0,3.5,5.2 km SE of Samos
138,2020-11-02 19:46:35.700,37.7115,26.9481,13.0,2.9,5.7 km SSW of Samos
139,2020-11-02 20:13:02.120,37.7137,27.065,5.0,3.0,9.1 km ESE of Samos
140,2020-11-02 20:51:39.780,37.7255,27.0438,7.0,3.1,6.9 km ESE of Samos
141,2020-11-02 23:34:41.320,37.846,26.4877,17.0,3.2,40.6 km NE of Ikaria
142,2020-11-03 00:48:01.650,37.7328,26.9807,22.0,3.1,2.7 km S of Samos
143,2020-11-03 01:32:50.640,37.8754,26.4839,8.0,3.2,42.8 km NE of Ikaria
144,2020-11-03 01:40:53.380,37.9471,26.5001,17.0,2.6,46.9 km WNW of Samos
145,2020-11-03 02:22:46.120,37.8724,26.4588,9.0,3.1,41.2 km NE of Ikaria
146,2020-11-03 03:03:38.880,37.7948,26.749,12.0,2.3,20.5 km WNW of Samos
147,2020-11-03 03:12:03.200,37.8847,26.4916,9.0,3.0,44.0 km NE of Ikaria
148,2020-11-03 03:21:52.940,37.8422,26.4361,7.0,2.3,37.3 km NE of Ikaria
149,2020-11-03 03:34:16.620,37.6913,26.892,22.0,2.8,10.5 km SW of Samos
150,2020-11-03 03:59:33.780,37.8673,26.4567,19.0,2.6,40.6 km NE of Ikaria
151,2020-11-03 04:56:21.710,37.8021,26.9504,4.0,3.0,5.5 km NNW of Samos
152,2020-11-03 05:32:52.400,37.7683,26.9461,11.0,3.2,3.0 km WNW of Samos
153,2020-11-03 06:38:40.250,37.7654,26.7005,8.0,2.8,24.3 km W of Samos
154,2020-11-03 14:50:19.660,37.8162,26.4407,18.0,2.6,35.4 km NE of Ikaria
155,2020-11-03 16:09:09.790,37.9165,26.519,26.0,2.5,43.9 km WNW of Samos
156,2020-11-03 17:47:25.300,37.834,26.4079,8.0,3.0,35.0 km NE of Ikaria
157,2020-11-03 18:03:59.510,37.8921,26.4881,10.0,3.5,44.5 km NE of Ikaria
158,2020-11-03 18:22:53.860,37.8548,26.68,15.0,2.7,28.3 km WNW of Samos
159,2020-11-03 18:30:19.170,37.8205,26.4118,11.0,2.5,34.1 km NE of Ikaria
160,2020-11-03 20:35:36.400,37.857,26.4525,22.0,3.9,39.5 km NE of Ikaria
161,2020-11-03 21:17:02.370,37.7967,26.7047,10.0,2.6,24.3 km W of Samos
162,2020-11-03 21:29:29.080,37.803,26.7232,18.0,1.9,22.9 km WNW of Samos
163,2020-11-03 21:51:04.380,37.863,26.929,5.0,2.3,12.5 km NNW of Samos
164,2020-11-03 22:03:27.100,37.9043,26.4868,2.0,2.6,45.5 km NE of Ikaria
165,2020-11-03 22:40:34.990,37.8883,27.0902,22.0,2.5,17.7 km NE of Samos
166,2020-11-03 22:51:50.090,37.6787,26.9327,8.0,2.7,9.6 km SSW of Samos
167,2020-11-03 23:03:38.170,37.8173,26.7535,14.0,2.8,20.7 km WNW of Samos
168,2020-11-03 23:17:08.070,37.7178,26.8968,12.0,3.8,8.3 km WSW of Samos
169,2020-11-03 23:56:10.600,37.6987,26.987,13.0,3.2,6.6 km S of Samos
170,2020-11-04 00:17:51.650,37.7017,26.9942,10.0,2.9,6.4 km SSE of Samos
171,2020-11-04 00:41:14.090,37.6805,27.0072,5.0,2.5,8.9 km SSE of Samos
172,2020-11-04 00:58:21.320,37.6797,26.9488,13.0,2.5,9.0 km SSW of Samos
173,2020-11-04 01:39:51.890,37.839,26.7118,7.0,2.5,25.0 km WNW of Samos
174,2020-11-04 02:24:17.570,37.7185,26.9915,7.0,3.7,4.5 km SSE of Samos
175,2020-11-04 02:41:00.130,37.8935,26.5985,6.0,2.9,36.5 km WNW of Samos
176,2020-11-04 07:31:18.980,37.8303,26.7265,16.0,3.0,23.5 km WNW of Samos
177,2020-11-04 12:38:03.180,37.6968,26.7548,17.0,2.4,20.7 km WSW of Samos
178,2020-11-04 13:21:31.030,37.6302,26.9233,17.0,3.5,14.9 km SSW of Samos
179,2020-11-04 13:52:45.710,37.6103,26.8813,18.0,3.0,18.4 km SSW of Samos
180,2020-11-04 17:08:39.070,37.7633,26.8228,17.0,3.1,13.6 km W of Samos
181,2020-11-04 17:38:55.970,37.7573,27.1145,2.0,3.1,12.1 km E of Samos
